Player,Pos,Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,PER,BPM,VORP,WIN,PIE
Nikola Joki?,C,DEN,52,33.7,26.3,12.2,9,1.2,0.9,0.582,0.366,0.814,10.8,0.295,31.6,14,7.1,0.673,21.4
Shai Gilgeous-Alexander,PG,OKC,53,34.5,31.1,5.5,6.5,2.2,0.9,0.546,0.371,0.883,11.2,0.294,30.5,10,5.5,0.698,19.4
Luka Don?i?,PG,DAL,46,37.6,34.3,8.8,9.6,1.4,0.6,0.491,0.379,0.775,7.7,0.215,28.1,9.7,5.2,0.609,19.9
Giannis Antetokounmpo,PF,MIL,53,34.9,30.7,11.4,6.3,1.4,1.1,0.611,0.255,0.655,9.1,0.235,29.5,8.5,4.9,0.642,19.5
Domantas Sabonis,C,SAC,53,35.7,20.2,13.2,8.4,0.8,0.5,0.623,0.426,0.697,8.3,0.21,23.6,6.6,4.1,0.566,17
Joel Embiid,C,PHI,34,34,35.3,11.3,5.7,1.1,1.8,0.533,0.366,0.883,6.8,0.281,34.3,11.8,4.1,0.765,22.6
Donovan Mitchell,SG,CLE,43,35.4,28.3,5.4,6.3,1.9,0.5,0.475,0.363,0.862,6.2,0.197,23.9,7.5,3.7,0.674,16.6
Kawhi Leonard,SF,LAC,48,34.3,24.1,6.2,3.7,1.7,0.9,0.527,0.453,0.891,7,0.205,23.7,6.3,3.5,0.688,15.9
Tyrese Haliburton,PG,IND,42,31.9,21.9,3.9,11.7,1,0.7,0.493,0.396,0.854,6.1,0.22,25.4,8.3,3.5,0.548,16.7
Anthony Davis,C,LAL,51,35.7,24.6,12.1,3.9,1.1,2.5,0.554,0.281,0.811,7.7,0.204,25.5,5.4,3.4,0.549,16.7
Kevin Durant,PF,PHO,47,37.1,28.3,6.6,5.7,0.9,1.3,0.537,0.444,0.867,6.2,0.172,23.3,5.7,3.4,0.574,15.9
Jayson Tatum,PF,BOS,51,35.9,27.3,8.6,4.7,1,0.6,0.476,0.364,0.824,7.1,0.185,22.3,5.3,3.3,0.784,15.9
LeBron James,PF,LAL,49,34.9,24.8,7.2,7.8,1.3,0.6,0.52,0.395,0.741,5,0.139,22.4,5.8,3.3,0.531,16.3
Stephen Curry,PG,GSW,48,33.4,28,4.4,4.9,0.8,0.4,0.464,0.421,0.927,5.3,0.157,21.7,6.1,3.2,0.542,14.6
Jalen Brunson,PG,NYK,51,35.9,27.5,3.9,6.5,0.9,0.2,0.482,0.406,0.834,7.1,0.187,22,4.8,3.1,0.627,14.6
Alperen ?engün,C,HOU,52,32.5,21.2,9.2,5,1.1,0.7,0.541,0.289,0.718,5.9,0.167,22,4.8,2.9,0.462,15.2
James Harden,PG,LAC,47,34.5,17.3,5,8.4,1.2,0.9,0.447,0.42,0.873,6.2,0.184,19.3,5,2.9,0.681,13.5
Anthony Edwards,SG,MIN,51,35,26.1,5.2,5.2,1.2,0.5,0.468,0.385,0.84,5,0.134,19.5,3.4,2.4,0.706,14.5
Chet Holmgren,C,OKC,54,30.1,16.7,7.6,2.7,0.7,2.6,0.535,0.393,0.773,5.9,0.175,20.6,4,2.4,0.685,13.1
Lauri Markkanen,PF,UTA,44,32.7,23.6,8.5,1.9,0.9,0.5,0.501,0.406,0.884,5.6,0.188,22.4,4.5,2.3,0.477,14.2
Karl-Anthony Towns,PF,MIN,53,32.8,22.5,8.4,2.9,0.7,0.6,0.516,0.436,0.875,5.9,0.162,19.3,2.9,2.2,0.698,14.4
Trae Young,PG,ATL,49,36.6,27,2.8,10.9,1.4,0.2,0.428,0.373,0.857,4.3,0.116,20.6,2.9,2.2,0.449,13.5
Tyrese Maxey,PG,PHI,48,37.2,25.6,3.6,6.4,1,0.5,0.447,0.38,0.852,5.5,0.148,19.7,2.8,2.2,0.667,12.6
Devin Booker,PG,PHO,44,36.2,28,4.7,7.1,0.9,0.4,0.501,0.378,0.869,6.2,0.186,22.7,3.1,2.1,0.636,14.9
Jimmy Butler,PF,MIA,37,33.9,21.4,5.5,4.6,1.3,0.3,0.5,0.44,0.869,5.6,0.213,22.4,4.7,2.1,0.514,14.7
Jarrett Allen,C,CLE,47,30.6,15.6,10.6,2.8,0.8,1.2,0.645,0,0.747,6.7,0.225,22.1,3.5,2,0.702,15
Kristaps Porzi??is,C,BOS,39,29.9,20.4,7,1.9,0.6,1.9,0.529,0.36,0.845,5.3,0.218,22.6,4.6,1.9,0.769,13.6
Zion Williamson,PF,NOP,43,30.5,22.1,5.5,4.8,1,0.5,0.581,0.364,0.685,4.5,0.164,22.5,3.6,1.9,0.581,14.2
Damian Lillard,PG,MIL,50,34.9,24.6,4.1,6.7,1,0.2,0.425,0.344,0.924,5.4,0.149,20,2,1.8,0.700,13.2
Pascal Siakam,PF,TOT,53,34.3,21.9,6.5,4.8,0.8,0.2,0.536,0.34,0.731,4.5,0.119,19.2,1.8,1.8,0.396,12.9
Paul George,PF,LAC,49,33.7,22.4,5.3,3.6,1.6,0.4,0.457,0.397,0.912,4.6,0.133,18.6,2.4,1.8,0.653,12.2
